index,filename,compound,1C13,2C13,3C13,4C13,5C13,6C13,7C13,8C13,9C13,No Label
1,250509_MHO06AI_CoA_1,AcetylCoA,647766.2634,233182.1639,55509.28547,11328.66387,NA,NA,NA,NA,NA,1980303.454
2,250509_MHO06AI_CoA_10,AcetylCoA,380299.2678,138201.3429,30311.4101,3674.169306,NA,NA,NA,2256.43718,857.0607553,1186522.813
3,250509_MHO06AI_CoA_100,AcetylCoA,553710.8393,219106.0495,61028.17327,14037.83098,1573.639642,NA,425.2215641,1064.49294,NA,850708.2171
4,250509_MHO06AI_CoA_101,AcetylCoA,608841.3063,228631.3798,67715.7665,13927.4219,2771.220782,2349.713548,NA,NA,NA,878578.9534
5,250509_MHO06AI_CoA_102,AcetylCoA,613058.3511,230376.4672,70426.09968,17235.12073,3737.694437,448.1019254,882.6509141,NA,NA,872575.3385
6,250509_MHO06AI_CoA_103,AcetylCoA,315683.226,178499.1573,45050.91046,14645.80557,1340.614606,NA,NA,NA,NA,555263.6432
7,250509_MHO06AI_CoA_104,AcetylCoA,438555.9471,210929.2151,60940.79633,14046.50107,NA,884.0619832,2333.129723,NA,872.3339028,666453.1424
8,250509_MHO06AI_CoA_105,AcetylCoA,434991.3585,215248.1416,58403.56523,16865.23612,3124.164392,NA,2160.368701,719.1647133,NA,691047.5073
9,250509_MHO06AI_CoA_106,AcetylCoA,288610.7665,151299.0357,40612.98519,11175.8623,2120.319505,2039.040216,NA,1891.757296,762.7083587,463971.2139
10,250509_MHO06AI_CoA_107,AcetylCoA,348504.1268,167770.5103,46322.31852,13250.07491,2657.145822,445.820266,NA,NA,NA,533981.4187
11,250509_MHO06AI_CoA_108,AcetylCoA,156522.6848,71503.07749,20366.3641,5572.065768,1446.417362,NA,NA,NA,412.1834444,249817.7595
12,250509_MHO06AI_CoA_109,AcetylCoA,653993.7843,220572.2482,72373.92937,16473.61674,NA,2339.798463,NA,NA,500.899561,324020.3595
13,250509_MHO06AI_CoA_11,AcetylCoA,208244.8246,79504.46837,9524.987004,2108.887994,NA,NA,NA,NA,NA,631288.461
14,250509_MHO06AI_CoA_110,AcetylCoA,698742.6877,236156.0166,80184.30194,15461.46601,2592.76432,2591.800175,1224.13403,NA,NA,380884.7917
15,250509_MHO06AI_CoA_111,AcetylCoA,779100.5588,267085.2453,88659.41112,19607.70648,3933.176638,783.6748861,NA,NA,2402.272835,401378.5649
16,250509_MHO06AI_CoA_112,AcetylCoA,506371.0518,170230.0183,56473.34813,11963.21646,2943.832014,NA,563.2700215,NA,NA,253469.731
17,250509_MHO06AI_CoA_113,AcetylCoA,754180.8927,258577.3466,88252.81346,23259.92378,4158.442738,1932.347182,NA,NA,1511.284816,407939.8228
18,250509_MHO06AI_CoA_114,AcetylCoA,807075.148,288021.8521,96095.1192,21988.2653,4400.028022,1074.219017,1367.379668,405.8034405,NA,453256.1685
19,250509_MHO06AI_CoA_115,AcetylCoA,1198391.092,402720.2009,130770.1378,27576.89852,7882.899907,2357.693748,3038.342909,1423.760814,714.7292289,623767.7805
20,250509_MHO06AI_CoA_116,AcetylCoA,1543549.367,490416.4358,174468.5607,33280.32434,2223.540764,2577.946975,1692.771595,2721.089687,NA,809181.5275
21,250509_MHO06AI_CoA_117,AcetylCoA,1477205.1,472989.4618,162646.3889,31205.04755,9969.434541,3039.313602,2365.141403,960.6935645,1064.782596,753684.9004
22,250509_MHO06AI_CoA_118,AcetylCoA,1133971.363,359431.3928,128482.2958,27251.19965,4356.704447,NA,3306.470764,NA,NA,595009.3704
23,250509_MHO06AI_CoA_119,AcetylCoA,1177526.544,378037.7801,128408.8256,29445.87127,6234.191978,5658.239632,2108.421781,2072.671714,1413.235697,627984.3643
