index,filename,compound,1C13,2C13,3C13,No Label
1,250509_MHO06AI_CoA_1,Pyruvate,396882.5453,NA,NA,11493746.78
2,250509_MHO06AI_CoA_10,Pyruvate,588122.546,NA,NA,19127378.89
3,250509_MHO06AI_CoA_100,Pyruvate,34395.14692,NA,389318.1994,646966.7614
4,250509_MHO06AI_CoA_101,Pyruvate,29733.10071,13076.72,459140.0683,488403.3725
5,250509_MHO06AI_CoA_102,Pyruvate,25322.12684,16044.99973,549592.343,434071.9428
6,250509_MHO06AI_CoA_103,Pyruvate,4313.181889,NA,0,171674.3451
7,250509_MHO06AI_CoA_104,Pyruvate,7155.192251,NA,0,183553.6111
8,250509_MHO06AI_CoA_105,Pyruvate,9582.085976,NA,0,155463.8398
9,250509_MHO06AI_CoA_106,Pyruvate,9956.918643,NA,0,131638.8657
10,250509_MHO06AI_CoA_107,Pyruvate,10682.23687,NA,76071.35464,201644.2354
11,250509_MHO06AI_CoA_108,Pyruvate,7753.287622,NA,0,226820.7453
12,250509_MHO06AI_CoA_109,Pyruvate,18887.86005,NA,0,193984.0759
13,250509_MHO06AI_CoA_11,Pyruvate,260580.1148,NA,24036.103,7590190.21
14,250509_MHO06AI_CoA_110,Pyruvate,7021.503544,NA,0,143283.0387
15,250509_MHO06AI_CoA_111,Pyruvate,15075.39357,NA,0,198209.8922
16,250509_MHO06AI_CoA_112,Pyruvate,3925.080366,NA,0,83164.7333
17,250509_MHO06AI_CoA_113,Pyruvate,31178.68032,11666.53917,328682.6946,312292.0929
18,250509_MHO06AI_CoA_114,Pyruvate,20334.73053,NA,0,150599.6317
19,250509_MHO06AI_CoA_115,Pyruvate,170911.9966,69237.92094,1213475.769,633320.4622
20,250509_MHO06AI_CoA_116,Pyruvate,245218.0375,114273.8177,2145870.325,813522.8883
21,250509_MHO06AI_CoA_117,Pyruvate,228653.7862,116925.3525,2137523.642,919791.2655
22,250509_MHO06AI_CoA_118,Pyruvate,133002.9877,61905.74114,1285042.674,702530.8392
23,250509_MHO06AI_CoA_119,Pyruvate,127143.1518,63790.50074,1302961.423,449481.0372
24,250509_MHO06AI_CoA_12,Pyruvate,180200.484,NA,29096.73296,5791935.205
25,250509_MHO06AI_CoA_120,Pyruvate,234003.4497,115022.0831,2292418.159,686105.915
